Date;TMoy (°C)
2020-11-10;12,52
2020-11-09;14,62
2020-11-08;15,38
2020-11-07;14,42
2020-11-06;10,68
2020-11-05;8,2
2020-11-04;6,15
2020-11-03;9,52
2020-11-02;14,77
2020-11-01;15,85
2020-10-31;12,75
2020-10-30;15,25
2020-10-29;14,52
2020-10-28;12,82
2020-10-27;11,23
2020-10-26;10,25
2020-10-25;12,28
2020-10-24;14,38
2020-10-23;13,85
2020-10-22;15,55
2020-10-21;16,83
2020-10-20;15,5
2020-10-19;11,88
2020-10-18;10,95
2020-10-17;11,9
2020-10-16;8,05
2020-10-15;10,25
2020-10-14;9,38
2020-10-13;12
2020-10-12;9,15
2020-10-11;12,5
2020-10-10;12,12
2020-10-09;15,22
2020-10-08;16,92
2020-10-07;14,58
2020-10-06;14,25
2020-10-05;13,3
2020-10-04;12,6
2020-10-03;10,65
2020-10-02;13,05
2020-10-01;14,68
2020-09-30;16,82
2020-09-29;16,4
2020-09-28;13,5
2020-09-27;11,12
2020-09-26;12,5
2020-09-25;13,2
2020-09-24;13,55
2020-09-23;18,23
2020-09-22;17,65
2020-09-21;20,72
2020-09-20;20,92
2020-09-19;21,55
2020-09-18;22,22
2020-09-17;24,45
2020-09-16;23,6
2020-09-15;23,1
2020-09-14;24,83
2020-09-13;20,68
2020-09-12;18,38
2020-09-11;19,85
2020-09-10;21,52
2020-09-09;22,25
2020-09-08;19,88
2020-09-07;16,05
2020-09-06;14,55
2020-09-05;18,77
2020-09-04;19,85
2020-09-03;18,92
2020-09-02;17,22
2020-09-01;16,52
2020-08-31;15,65
2020-08-30;13,9
2020-08-29;14,6
2020-08-28;18,23
2020-08-27;17,95
2020-08-26;19,7
2020-08-25;20,32
2020-08-24;17,68
2020-08-23;19,1
2020-08-22;20,35
2020-08-21;22,92
2020-08-20;23,98
2020-08-19;21,22
2020-08-18;19,75
2020-08-17;20,38
2020-08-16;19,8
2020-08-15;21,05
2020-08-14;21,7
2020-08-13;22,3
2020-08-12;25,5
2020-08-11;27,8
2020-08-10;27,55
2020-08-09;26,85
2020-08-08;27,92
2020-08-07;29,05
2020-08-06;24,4
2020-08-05;20,12
2020-08-04;17,42
2020-08-03;19,9
2020-08-02;19,82
2020-08-01;22,75
2020-07-31;26,45
2020-07-30;25,48
2020-07-29;19,85
2020-07-28;20,18
2020-07-27;19,82
2020-07-26;20,1
2020-07-25;19,77
2020-07-24;19,68
2020-07-23;21,55
2020-07-22;22
2020-07-21;21,68
2020-07-20;21,78
2020-07-19;22,18
2020-07-18;22,15
2020-07-17;21
2020-07-16;18,92
2020-07-15;18,42
2020-07-14;18,45
2020-07-13;20,27
2020-07-12;19,42
2020-07-11;17,05
2020-07-10;20,05
2020-07-09;21
2020-07-08;19,45
2020-07-07;16,75
2020-07-06;16,75
2020-07-05;20,22
2020-07-04;16,95
2020-07-03;17,25
2020-07-02;18,02
2020-07-01;20,3
2020-06-30;18,23
2020-06-29;16,45
2020-06-28;17,18
2020-06-27;19,02
2020-06-26;20,9
2020-06-25;25,42
2020-06-24;25,4
2020-06-23;21,3
2020-06-22;18,02
2020-06-21;18,38
2020-06-20;17
2020-06-19;16,45
2020-06-18;15,62
2020-06-17;15,92
2020-06-16;16,72
2020-06-15;16,88
